time_day,TCE_zone1_x17_5_mg_L,TCE_zone2_x2_mg_L,cDCE_zone2_x2_mg_L,VC_zone2_x2_mg_L,TCE_zone2_x15_mg_L,cDCE_zone2_x15_mg_L,VC_zone2_x15_mg_L,TCE_zone2_x28_mg_L,cDCE_zone2_x28_mg_L,VC_zone2_x28_mg_L,source_mass_mg,source_active
5.61,15.6325155324117,2.74384408059774e-12,7.89674653694831e-12,0,0,0,0,0,0,0,972020912.347189,1
5.64,15.6625697315482,3.5961596758735e-12,1.04951965140753e-11,1.10204400150473e-12,0,0,0,0,0,0,971871601.444161,1
5.67,15.6926232274165,4.69956667883229e-12,1.39073645119994e-11,1.46838259367541e-12,0,0,0,0,0,0,971722293.805075,1
5.7,15.722676020033,6.12396990656949e-12,1.83750499244574e-11,1.95065265027857e-12,0,0,0,0,0,0,971572989.429412,1
5.73,15.7527281094141,7.95758691414499e-12,2.42079954584211e-11,2.58368016011449e-12,0,0,0,0,0,0,971423688.316655,1
5.76,15.7827794955763,1.031143805806e-11,3.18018642738477e-11,3.41218811471649e-12,0,0,0,0,0,0,971274390.466285,1
5.79,15.8128301785362,1.33248599856788e-11,4.1660672848803e-11,4.49344628086022e-12,0,0,0,0,0,0,971125095.877784,1
5.82,15.84288015831,1.71722574719934e-11,5.44247072869309e-11,5.90058595031637e-12,0,0,0,0,0,0,970975804.550633,1
5.85,15.8729294349143,2.20713495977893e-11,7.09051694688175e-11,7.72673508386143e-12,0,0,0,0,0,0,970826516.484315,1
5.88,15.9029780083655,2.82932143496331e-11,9.21270605527524e-11,1.00901628106957e-11,0,0,0,0,0,0,970677231.67831,1
5.91,15.9330258786801,3.61744918609919e-11,1.19382120224095e-10,1.31406623975297e-11,0,0,0,0,0,0,970527950.1321,1
5.94,15.9630730458745,4.61321718701341e-11,1.54294009261323e-10,1.70674497324284e-11,0,0,0,0,0,0,970378671.845169,1
5.97,15.9931195099653,5.86814668460435e-11,1.98898360170432e-10,2.2108911426334e-11,0,0,0,0,0,0,970229396.816996,1
6,16.0231652709687,7.44573600782166e-11,2.55740836983354e-10,2.85646043730682e-11,0,0,0,0,0,0,970080125.047065,1
6.03,16.0532103289014,9.42405194488089e-11,3.27996953536567e-10,3.68099888086693e-11,0,0,0,0,0,0,969930856.534856,1
6.06,16.0832546837797,1.18988384385466e-10,4.19618114108002e-10,4.73144716120517e-11,0,0,0,0,0,0,969781591.279852,1
6.09,16.1132983356201,1.49872367590946e-10,5.35509177597961e-10,6.06634481167874e-11,0,0,0,0,0,0,969632329.281535,1
6.12,16.1433412844391,1.88322266714009e-10,6.81743825041486e-10,7.75851617030027e-11,0,0,0,0,0,0,969483070.539387,1
6.15,16.173383530253,2.36079156519939e-10,8.65825151045117e-10,9.89833539074869e-11,0,0,0,0,0,0,969333815.052889,1
6.18,16.2034250730784,2.95258231904848e-10,1.09700022625097e-09,1.25976857118619e-10,0,0,0,0,0,0,969184562.821523,1
6.21,16.2334659129317,3.68423299062015e-10,1.386638916479e-09,1.59947490930561e-10,0,0,0,0,0,0,969035313.844772,1
6.24,16.2635060498293,4.5867486926411e-10,1.74868902420231e-09,2.0259786621038e-10,0,0,0,0,0,0,968886068.122118,1
6.27,16.2935454837877,5.69754100317998e-10,2.20022187223523e-09,2.56020982690314e-10,0,0,0,0,0,0,968736825.653042,1
6.3,16.3235842148234,7.06165158260356e-10,2.76208481433954e-09,3.22783831804788e-10,0,0,0,0,0,0,968587586.437027,1
6.33,16.3536222429528,8.73318940011332e-10,3.45967987315189e-09,4.06027592526493e-10,0,0,0,0,0,0,968438350.473554,1
6.36,16.3836595681923,1.07770151044433e-09,4.32389081684317e-09,5.09587440753852e-10,0,0,0,0,0,0,968289117.762107,1
6.39,16.4136961905584,1.3270710688486e-09,5.39218454112427e-09,6.3813548970657e-10,0,0,0,0,0,0,968139888.302166,1
6.42,16.4437321100676,1.63068777446704e-09,6.70991667621691e-09,7.97350947897057e-10,0,0,0,0,0,0,967990662.093214,1
6.45,16.4737673267362,1.99958133330616e-09,8.33187594780794e-09,9.94122231470693e-10,0,0,0,0,0,0,967841439.134734,1
6.48,16.5038018405808,2.44686188355602e-09,1.0324107050638e-08,1.23678650881096e-09,0,0,0,0,0,0,967692219.426207,1
6.51,16.5338356516177,2.98808041971954e-09,1.27660577125627e-08,1.53541299795451e-09,0,0,0,0,0,0,967543002.967116,1
6.54,16.5638687598634,3.64164577107656e-09,1.57531023106888e-08,1.9021372931739e-09,0,0,0,0,0,0,967393789.756942,1
6.57,16.5939011653345,4.42930600366413e-09,1.93995019304453e-08,2.35155507867273e-09,0,0,0,0,0,0,967244579.795169,1
6.6,16.6239328680472,5.37670305188816e-09,2.38418692201574e-08,2.90118480833912e-09,0,0,0,0,0,0,967095373.081278,1
6.63,16.6539638680181,6.51401041158292e-09,2.92432158809777e-08,3.57201030562463e-09,0,0,0,0,0,0,966946169.614752,1
6.66,16.6839941652636,7.87666484618735e-09,3.57976712442413e-08,4.38911578265112e-09,0,0,0,0,0,0,966796969.395073,1
6.69,16.7140237598001,9.50620427703006e-09,4.37359722310423e-08,5.38242750950285e-09,0,0,0,0,0,0,966647772.421724,1
6.72,16.7440526516441,1.14512253527057e-08,5.33318381738544e-08,6.58757830136027e-09,0,0,0,0,0,0,966498578.694186,1
6.75,16.7740808408121,1.3768475626188e-08,6.490935862517e-08,8.04691315181864e-09,0,0,0,0,0,0,966349388.211942,1
6.78,16.8041083273204,1.6524096816395e-08,7.88515385071005e-08,9.81065674566213e-09,0,0,0,0,0,0,966200200.974475,1
6.81,16.8341351111855,1.9795037297785e-08,9.56101628979039e-08,1.19382662548636e-08,0,0,0,0,0,0,966051016.981267,1
6.84,16.8641611924239,2.36706537511669e-08,1.15717163540888e-07,1.44999957800286e-08,0,0,0,0,0,0,965901836.2318,1
6.87,16.894186571052,2.82545238246679e-08,1.39797690937123e-07,1.75787020692576e-08,0,0,0,0,0,0,965752658.725558,1
6.9,16.9242112470863,3.36664936984872e-08,1.68585119789011e-07,2.12719247517305e-08,0,0,0,0,0,0,965603484.462022,1
6.93,16.9542352205431,4.00449866227266e-08,2.02938241743324e-07,2.56942782893055e-08,0,0,0,0,0,0,965454313.440675,1
6.96,16.9842584914389,4.754960080539e-08,2.43860927988745e-07,3.09801972018517e-08,0,0,0,0,0,0,965305145.660999,1
6.99,17.0142810597902,5.63640274678133e-08,2.92524575444306e-07,3.72870808872368e-08,0,0,0,0,0,0,965155981.122478,1
7.02,17.0443029256134,6.66993224564335e-08,3.50293684182039e-07,4.47988895616097e-08,0,0,0,0,0,0,965006819.824593,1
7.05,17.074324088925,7.87975675008532e-08,4.18754950508833e-07,5.37302485167907e-08,0,0,0,0,0,0,964857661.766828,1
7.08,17.1043445497413,9.29359600351659e-08,4.99750299936037e-07,6.43311240561487e-08,0,0,0,0,0,0,964708506.948665,1
7.11,17.1343643080788,1.09431373447616e-07,5.95414327233224e-07,7.68921411549915e-08,0,0,0,0,0,0,964559355.369586,1
7.14,17.164383363954,1.2864543268639e-07,7.08216657031801e-07,9.175062012239e-08,0,0,0,0,0,0,964410207.029075,1
7.17,17.1944017173833,1.50990153318518e-07,8.41009788143477e-07,1.09297417343847e-07,0,0,0,0,0,0,964261061.926614,1
7.2,17.2244193683831,1.76934195404546e-07,9.97083038007204e-07,1.29984663582511e-07,0,0,0,0,0,0,964111920.061686,1
7.23,17.2544363169699,2.07009786901871e-07,1.1802232605826e-06,1.54334502333416e-07,0,0,0,0,0,0,963962781.433773,1
7.26,17.2844525631601,2.41820374730498e-07,1.39478307166035e-06,1.82948940381342e-07,0,0,0,0,0,0,963813646.042359,1
7.29,17.3144681069701,2.8204906511049e-07,1.64575738003564e-06,2.16520933026765e-07,0,0,0,0,0,0,963664513.886925,1
7.32,17.3444829484164,3.2846791829211e-07,1.93886909134423e-06,2.55846837431927e-07,0,0,0,0,0,0,963515384.966956,1
7.35,17.3744970875154,3.81948166327311e-07,2.2806649236255e-06,3.01840379212662e-07,0,0,0,0,0,0,963366259.281933,1
7.38,17.4045105242836,4.4347142605173e-07,2.67862234985891e-06,3.55548289770361e-07,0,0,0,0,0,0,963217136.83134,1
7.41,17.4345232587373,5.1414198293467e-07,3.14126876279963e-06,4.18167784926872e-07,0,0,0,0,0,0,963068017.614659,1
7.44,17.464535290893,5.95200224882978e-07,3.67831404136189e-06,4.91066069193261e-07,0,0,0,0,0,0,962918901.631374,1
7.47,17.4945466207672,6.88037308423408e-07,4.30079778547798e-06,5.75802064465904e-07,0,0,0,0,0,0,962769788.880968,1
7.5,17.5245572483763,7.94211142904664e-07,5.02125257767275e-06,6.74150577089203e-07,0,0,0,0,0,0,962620679.362922,1
7.53,17.5545671737367,9.15463781420199e-07,5.85388472437083e-06,7.88129133036011e-07,0,0,0,0,0,0,962471573.076721,1
7.56,17.5845763968648,1.05374031001934e-06,6.81477402799007e-06,9.20027727410051e-07,0,0,0,0,0,0,962322470.021848,1
7.59,17.6145849177772,1.21120932940844e-06,7.92209424191184e-06,1.07244175153765e-06,0,0,0,0,0,0,962173370.197784,1
7.62,17.6445927364901,1.39028512570448e-06,9.19635596415463e-06,1.24830837854904e-06,0,0,0,0,0,0,962024273.604014,1
7.65,17.67459985302,1.59365162884875e-06,1.06606738316537e-05,1.45094670650405e-06,0,0,0,0,0,0,961875180.240021,1
7.68,17.7046062673835,1.8242882589726e-06,1.23410599850556e-05,1.68410197673595e-06,0,0,0,0,0,0,961726090.105287,1
7.71,17.7346119795968,2.0854977622864e-06,1.42667458834072e-05,1.95199420410369e-06,0,0,0,0,0,0,961577003.199295,1
7.74,17.7646169896765,2.38093613888857e-06,1.64705346585236e-05,2.25937157518027e-06,0,0,0,0,0,0,961427919.52153,1
7.77,17.794621297639,2.71464476521744e-06,1.89891863095809e-05,2.6115689899762e-06,0,0,0,0,0,0,961278839.071473,1
7.8,17.8246249035006,3.09108481364546e-06,2.18638381489393e-05,3.01457214250508e-06,0,0,0,0,0,0,961129761.848608,1
7.83,17.8546278072778,3.51517407089528e-06,2.51404630196679e-05,3.47508755523401e-06,0,0,0,0,0,0,960980687.852419,1
7.86,17.8846300089872,3.99232625549191e-06,2.88703679129225e-05,4.00061900210596e-06,0,0,0,0,0,0,960831617.082389,1
7.89,17.9146315086449,4.52849293230695e-06,3.31107357184102e-05,4.59955077424373e-06,0,0,0,0,0,0,960682549.538,1
7.92,17.9446323062676,5.13020811935298e-06,3.79252129427505e-05,5.28123826150318e-06,0,0,0,0,0,0,960533485.218736,1
